model_name,quant_method,batch_size,latency,accuracy,energy
resnet18,tensorrt_int8,8,0.2728495192949218,0.6455010434292784,0.0039029180715834744
resnet18,sparsity_int8,8,0.2776420210045998,0.47621757212010296,0.00397693464904652
resnet18,tensorrt_fp16,8,0.37501414141269646,0.6464591702126493,0.005396525467339689
resnet18,sparsity_fp16,8,0.3686075477287023,0.46734224435957994,0.005379166892381914
resnet18,tensorrt_fp32,8,0.5327192572030154,0.645047701097498,0.008205924032415018
resnet18,tensorrt_int8,16,0.2728438947236899,0.6907996883296004,0.003916276326245402
resnet18,sparsity_int8,16,0.2743220368419031,0.5027267019104475,0.003942946398812469
resnet18,tensorrt_fp16,16,0.36898217285522306,0.6874496398550092,0.005430078108740813
resnet18,sparsity_fp16,16,0.372550141149097,0.5045119123928474,0.005505729543153861
resnet18,tensorrt_fp32,16,0.5414903608837514,0.6870904254190849,0.008269300460774634
resnet18,tensorrt_int8,32,0.2992058373041184,0.7253949403374513,0.004303598139088749
resnet18,sparsity_int8,32,0.27017370701224486,0.5333929630754825,0.003899300971859847
resnet18,tensorrt_fp16,32,0.3885783965696341,0.7256958340977224,0.005634390266169918
resnet18,sparsity_fp16,32,0.3775448596244526,0.5369820584109241,0.0054938451179699635
resnet18,tensorrt_fp32,32,0.5483862936302583,0.7263268337187627,0.008465052486325435
resnet18,tensorrt_int8,64,0.2746952043858585,0.7400846280009541,0.003994535698304695
resnet18,sparsity_int8,64,0.2949353103211384,0.5490044992885842,0.004286443634694914
resnet18,tensorrt_fp16,64,0.3790149941349661,0.7408375507158949,0.00559333469288904
resnet18,sparsity_fp16,64,0.38959554883817965,0.5473012811695503,0.005740853101956902
resnet18,tensorrt_fp32,64,0.5731903584982385,0.7402224130188393,0.00911448167491354
resnet18,tensorrt_int8,128,0.3344447126943771,0.7414144718483703,0.004873492592741572
resnet18,sparsity_int8,128,0.35588076792351186,0.5472034354732461,0.005171596214275037
resnet18,tensorrt_fp16,128,0.4384552330186922,0.7416636715196583,0.0065256904003517064
resnet18,sparsity_fp16,128,0.4352026291906017,0.5480293929576874,0.006469893187036582
resnet18,tensorrt_fp32,128,0.6459261383095832,0.7411121056504446,0.01016608844328509
